Company Name,Pitch Year,Industry Served (organized),State Headquartered,Princeton Connection? (Binary),Total Amount Currently Raising,Amount Already Closed of the Total Currently Raising,[Gender] Does anyone on your founding team identify as:,[Race/Ethnicity] Does anyone on your founding team identify as:,Has anyone on your founding team ever served on active duty?
"Claudius Legal Intelligence, Inc.",2021,Software,New Jersey,Yes,400000,0,"Female, Male","African-American / Black, East Asian, White, Hispanic/Latinx",No
Lumhaa: The Memory Jar Company,2021,Internet / Web Services,Pennsylvania,Yes,500000,0,Female,South Asian,No
MisenBox,2021,Food & Drink,New Jersey,No,1500000,150000,Male,"African, African-American / Black, East Asian",No
Oxitone Medical,2021,Healthcare Technologies,Connecticut,No,6000000,1000000,Male,Middle Eastern,No
HALLO TECHNOLOGIES LLC,2021,Internet / Web Services,Delaware,No,3000000,65000,Male,"Southeast Asian, White, Hispanic/Latinx",No
Mori,2021,Healthcare Technologies,New York,Yes,50000,0,Female,White,No
"Harvest Direct Enterprises, LLC",2021,Biotechnology,Washington,No,3000000,1000000,"Female, Male","African, African-American / Black, Middle Eastern, White",No
YRfacts,2021,Digital Marketing,California,Yes,200000,300000,Male,White,Yes
Amelia,2021,Aerospace,California,No,1000000,0,Male,White,No
"RecurX Bio, Inc.",2021,Healthcare Technologies,Maryland,Yes,500000,150000,Female,White,No
Village in a box,2021,Energy & CleanTech,Israel,No,8250000,2100000,Male,"Middle Eastern, White",No
Ship&Co,2021,Transportation,France,No,500000,0,"Female, Male",Middle Eastern,No
EchoX Technology Limited,2021,Healthcare Technologies,Hong Kong,No,1000000,200000,Female,East Asian,No
"Transfer, Inc.",2021,Software,Washington,No,110000,27500,Male,African-American / Black,No
NXT Grid,2021,Energy & CleanTech,Netherlands,No,1500000,0,Male,"African, White",No
Pika,2021,Electronics / Instrumentation,Israel,No,500000,50000,"Female, Male,",Middle Eastern,Yes
Junk Theory,2021,Consumer Products,California,No,1500000,0,Female,"African, White",No
Legion Health,2021,Healthcare Technologies,Texas,Yes,,125000,Male,"South Asian, Pacific Islander, White",No
LuSeed Vascular,2021,Healthcare Technologies,Israel,Yes,1500000,1550000,Male,Middle Eastern,No
CalWave Power Technologies,2021,Energy & CleanTech,California,Yes,350000,800000,,"Pacific Islander, White",Yes
ADX,2021,Biotechnology,United Kingdom,No,3000000,0,Male,"South Asian, White",No
Raise DM Closed,2021,Software,Australia,Yes,700000,43000,"Female, Male","South Asian, White",No
"BACCH Laboratories, Inc.",2021,Software,New Jersey,Yes,2000000,456500,Male,"Middle Eastern, White",No
ShipReality Inc.,2021,Maritime/Shipping,Delaware,Yes,400000,50000,Male,White,No
DH Securities,2021,Financial Services,Pennsylvania,Yes,2500000,0,Male,"African-American / Black, White, Hispanic/Latinx",No
SciDrain,2021,Healthcare Technologies,Illinois,Yes,1000000,0,Male,"Southeast Asian, White, Hispanic/Latinx",No
Data Huddle,2021,Financial Services,New York,No,125000,25000,Male,African-American / Black,No
sesh,2021,Business Products,California,Yes,500000,0,Male,"African-American / Black, White",Yes
PayFina,2021,Financial Services,Virginia,No,5000000,1000000,Male,White,No
JelikaLite LLC,2021,Biotechnology,New York,Yes,5000000,400000,Female,White,No
Oncoheroes Biosciences Inc.,2021,Biotechnology,Massachusetts,Yes,4000000,575000,Male,Hispanic/Latinx,No
Haystack Diagnostics (dba Haystack Dx),2021,Healthcare Technologies,Massachusetts,Yes,300000,650,Female,"South Asian, Southeast Asian, White",Yes
Let's Get Set,2021,FinTech,California,Yes,250000,110000,Female,White,No
Fresh Cut,2021,Agricultural Technology,New Jersey,No,320000,0,Male,"East Asian, White",Yes
Optimal Acuity Corporation,2021,Healthcare Technologies,New Jersey,Yes,2000000,0,Male,"South Asian, White",No
ATMOS Financial,2021,FinTech,California,No,1000000,0,Male,White,No
Validose,2021,Healthcare Technologies,New York,Yes,1400000,550000,Male,White,No
Doctionary,2021,Healthcare Technologies,Connecticut,Yes,1300000,0,Female,White,No
Apricity Health LLC,2021,Healthcare Technologies,Texas,No,5000000,4000000,Female,"African-American / Black, Southeast Asian, White",No
Uplift Labs,2021,Software,California,Yes,3000000,0,Male,"Southeast Asian, East Asian, White",No
Graphene TX,2021,Nanotechnology,Texas,Yes,,1800000,Male,East Asian,No
Birb,2021,Advertising Technology,New York,Yes,2000000,0,"Female, Male",White,No
Cooler,2021,Internet / Web Services,California,No,2100000,750000,"Female, Male",African-American / Black,No
Pluto,2021,Internet / Web Services,California,Yes,800000,200000,Male,White,No
Lambent Data,2021,Software,New Jersey,Yes,350000,0,"Female, Male",White,Yes
unspun,2021,Retail,California,No,6000000,4000000,"Female, Male","East Asian, White",No
XCINEX,2021,Media & Entertainment,California,Yes,1000000,344000,Male,"East Asian, Middle Eastern, White",No
e-Fin,2021,FinTech,South Africa,No,30000000,2000000,Male,White,No
