Company Name,Pitch Year,Industry Served (organized),State Headquartered,Princeton Connection? (Binary),Total Amount Currently Raising,Amount Already Closed of the Total Currently Raising,[Gender] Does anyone on your founding team identify as:,[Race/Ethnicity] Does anyone on your founding team identify as:,Has anyone on your founding team ever served on active duty?
"Wellesley Pharmaceuticals, LLC",2019,Healthcare Technologies,Pennsylvania,Yes,14500000,4500000,,,
Picnic Tax Inc,2019,Other,New York,Yes,2000000,0,,,
"Som Friends, Inc.",2019,Food & Drink,California,Yes,4000000,1500000,,,
"YesPlz, Inc",2019,eCommerce,California,Yes,750000,100000,,,
Align17,2019,FinTech,United Kingdom,Yes,2000000,1275000,,,
"Concarlo Holdings, LLC",2019,Healthcare Technologies,New York,Yes,2000000,350000,,,
Otto,2019,Healthcare Technologies,New York,Yes,500000,0,,,
"Stout Heart, Inc.",2019,Healthcare Technologies,California,Yes,5000,10000,,,
Perkin & Perkin LLC,2019,Consumer Services,New York,No,1500000,150000,,,
"CathBuddy, Inc.",2019,Healthcare Technologies,New York,Yes,750000,0,,,
Legacy Navigator,2019,Other,Virginia,Yes,5000000,3000000,,,
Spoonful Inc.,2019,Healthcare Technologies,California,Yes,1000000,250000,,,
"Strategic Capital Allocation Group, LLC",2019,FinTech,Massachusetts,Yes,500000,150000,,,
Mammamia LLC,2019,CBD,California,Yes,500000,250000,,,
Upate,2019,Travel,Argentina,Yes,8000000,0,,,
Quinncia,2019,Education,Massachusetts,No,1100000,550000,,,
Invictis Technologies,2019,Healthcare Technologies,New Jersey,Yes,300000,0,,,
CREO DESIGN LLC,2019,Energy & CleanTech,California,Yes,750000,450000,,,
RSLL Ventures,2019,Other,California,Yes,200000,30000,,,
"Twenty Nine Enterprises, Inc.",2019,Advertising Technology,New York,No,500000,0,,,
"Stratyfy, Inc.",2019,FinTech,New York,Yes,750000,525000,,,
ePropertyCare Corporation,2019,Real Estate,Massachusetts,Yes,0,0,,,
Growsquares Inc.,2019,Agricultural Technology,New York,Yes,1500000,760000,,,
"Sveikatal, Inc.",2019,Biotechnology,New York,Yes,9000000,200000,,,
N/A,2019,HR Tech,Pennsylvania,Yes,10000,0,,,
The Art of the Interview,2019,Media & Entertainment,New York,Yes,175000,10000,,,
ZGTL,2019,Health & Beauty,New York,Yes,2000000,500000,,,
"EINO, Inc.",2019,Artificial Intelligence,New York,No,500000,25000,,,
DonorUP,2019,Consumer Services,New York,Yes,750000,250000,,,
"Perch Interactive, Inc.",2019,Retail,New York,Yes,500000,3600000,,,
"Silicon Harlem, LLC",2019,Other,New York,Yes,300000,60000,,,
Lilu,2019,Healthcare Technologies,New York,No,750000,200000,,,
"Zinc Life, Inc.",2019,EdTech,New York,Yes,500000,350000,,,
"DENTIDESK, Inc.",2019,Healthcare Technologies,Florida,No,1000000,450000,,,
Nokking Inc,2019,Advertising Technology,New York,No,1.5,200000,,,
CloudKPI,2019,SaaS Software,Connecticut,Yes,1500000,820000,,,
Authenticum,2019,Art,California,Yes,3000000,400000,,,
Pürro,2019,EdTech,New York,Yes,100000,7000,,,
"BLUEWAVE Technologies, Inc.",2019,Healthcare Technologies,Florida,No,2000000,740000,,,
Linumio Inc.,2019,Media & Entertainment,California,No,1500000,300000,,,
"Quantum Heart, Inc",2019,Life Sciences,New York,Yes,750000,30000,,,
"Guanyin Labs, Inc.",2019,HR Tech,California,Yes,500000,0,,,
Indigo Education Company,2019,Education,Colorado,Yes,1500000,200000,,,
MEDVILLE CORP,2019,Healthcare Technologies,California,Yes,2000000,300000,,,
We Are the New Farmers,2019,Healthcare Technologies,New York,Yes,250000,140000,,,
Verstill,2019,Food & Drink,Israel,Yes,500000,300000,,,
BoxPower Inc.,2019,Energy & CleanTech,California,Yes,750000,125000,,,
BLENDtw,2019,Media & Entertainment,New York,No,200000,10000,,,
Lucid Science Inc,2019,Healthcare Technologies,California,Yes,1000000,500000,,,
"Open Refactory, Inc.",2019,Other,California,Yes,300000,100000,,,
"Tigerstone, Inc",2019,Other,New Jersey,Yes,200000,25000,,,
Kipit Inc,2019,Electronics / Instrumentation,New York,Yes,800000,100000,,,
Calm Child LLC,2019,Health & Well-Being,New York,Yes,100000,0,,,
"CampusTech, Inc.",2019,Education,New York,Yes,2600000,1500000,,,
"Snakt, Inc.",2019,Media & Entertainment,New York,Yes,600000,475000,,,
WellPower,2019,Energy & CleanTech,New Jersey,Yes,150000,20000,,,
Jacaranda Technology LLC,2019,Health & Well-Being,Florida,Yes,800000,100000,,,
Potboiler LLC,2019,News,New York,Yes,350000,60000,,,
Twentyeight Health,2019,Healthcare Technologies,New York,Yes,800000,300000,,,
"GratWorx, Inc.",2019,Healthcare Technologies,California,Yes,8000000,2000000,,,
Virtual Film School Inc,2019,Education,California,Yes,1000000,100000,,,
"SIRL, Inc.",2019,Retail,New York,Yes,1000000,0,,,
"Wit Labs, Inc.",2019,Consumer Services,New Jersey,Yes,1000000,250000,,,
"Bartleby, Inc.",2019,Legal,New York,Yes,135000,0,,,
Aduri Inc.,2019,Healthcare Technologies,New York,Yes,500000,0,,,
"Predictive Cyber Protection, LLC",2019,FinTech,Pennsylvania,Yes,225000,75000,,,
3Diligent Corporation,2019,Manufacturing,California,Yes,1000000,400000,,,
WellSheet Inc.,2019,Healthcare Technologies,New Jersey,Yes,500000,200000,,,
PICKT,2019,Sports and Entertainment,Nevada,Yes,350000,0,,,
AlexandriaMus Inc.,2019,Education,California,Yes,100000,0,,,
myVnews,2019,News,California,Yes,1000000,100000,,,
Afari Inc,2019,Consumer Services,New Jersey,Yes,500000,0,,,
BootCareers.Inc,2019,HR Tech,California,Yes,800000,100000,,,
Lambent Data Inc.,2019,Other,New Jersey,Yes,350000,0,,,
Silivhere Technologies,2019,Energy & CleanTech,Virginia,Yes,500000,150000,,,
"myLAB BOX, Inc.",2019,Healthcare Technologies,California,Yes,1000000,0,,,
Qualtrus,2019,Pharmaceuticals,California,Yes,400000,50000,,,
Upate,2019,Travel,Argentina,Yes,8000000,0,,,
Societas Analytics,2019,Information Security,Virginia,No,500000,60000,,,
Arithos,2019,FinTech,California,Yes,500000,0,,,
Flapless Femtosecond LASIK,2019,Healthcare Technologies,New Jersey,Yes,250000,150000,,,
Kolanut Capital,2019,Agricultural Technology,New York,Yes,250000,50000,,,
Sway Products LLC,2019,CBD,New York,Yes,600000,100000,,,
"Goldilocks Therapeutics, Inc.",2019,Healthcare Technologies,New York,Yes,500000,100000,,,
Triaj Inc,2019,Healthcare Technologies,Maryland,Yes,5000000,500000,,,
Amnicell Corporation,2019,Healthcare Technologies,New York,Yes,15000000,2000000,,,
"Journify, Inc.",2019,Healthcare Technologies,New York,No,800000,0,,,
Presently,2019,Travel,California,Yes,150000,0,,,
Fontmoji Inc.,2019,Social Media,New York,No,500000,0,,,
Armington Studios,2019,Healthcare Technologies,Rhode Island,No,1000000,275000,,,
One Done Inc,2019,Cleaning Services,New York,No,150000,0,,,
GrowSquares Inc,2019,Agricultural Technology,New York,Yes,2000000,875000,,,
Avocondo Company,2019,FinTech,New York,No,1000000,300000,,,
New Territory,2019,Real Estate,New York,Yes,5000000,500000,,,
"CathBuddy, Inc.",2019,Healthcare Technologies,New York,Yes,500000,100000,,,
Dwell Optimal Inc,2019,Real Estate,New York,Yes,1500000,200000,,,
"Re-Nuble, Inc.",2019,Agricultural Technology,New York,No,1000000,500000,,,
Etail Inc,2019,Food & Drink,New York,Yes,530000,0,,,
"Stratyfy, Inc",2019,FinTech,New York,Yes,2500000,0,,,
Aduri,2019,Healthcare Technologies,New York,Yes,500000,200000,,,
Altus Labs,2019,Healthcare Technologies,Colorado,Yes,3000000,1000000,,,
Health Alert LLC,2019,Healthcare Technologies,Idaho,Yes,500000,50000,,,
ShipReality Inc.,2019,Transportation,"Athens, Greece",Yes,250000,50000,,,
"Black Oaks Management, Inc.",2019,Consumer Products,California,Yes,1500000,335000,,,
"PolyAurum, LLC",2019,Healthcare Technologies,Pennsylvania,Yes,1300000,345000,,,
Verstill,2019,Food & Drink,Israel,Yes,1000000,430000,,,
Pocket Naloxone Corp.,2019,Healthcare Technologies,Maryland,Yes,2000000,550000,,,
"Precision Livestock Technologies, Inc.",2019,Agricultural Technology,Texas,Yes,300000,30000,,,
"Lilu, Inc",2019,Healthcare Technologies,New York,No,1500000,0,,,
Lifenome,2019,Insurance,New York,Yes,5000000,2225000,,,
Nanochon,2019,Healthcare Technologies,"Washington, D.C.",No,3500000,100000,,,
Align17 Ltd.,2019,FinTech,New York,Yes,175000,1825000,,,
GEIA SAPI CV,2019,FinTech,Mexico,Yes,500000,150000,,,
FLOAT/THERE Inc.,2019,Travel,Pennsylvania,Yes,200000,40000,,,
"Stuypend, Inc.",2019,FinTech,New York,Yes,500000,40000,,,
ARKAY Therapeutics,2019,Pharmaceuticals,New Jersey,No,2500500,50000,,,
Principld Investing Inc.,2019,FinTech,New York,Yes,800000,245000,,,
owal,2019,Real Estate,New York,Yes,2500000,1500000,,,
"trUSx, Inc",2019,Healthcare Technologies,Vermont,Yes,6000000,250000,,,
VICI Sports,2019,Media & Entertainment,New York,Yes,300000,260000,,,
Spare,2019,FinTech,California,Yes,2000000,410000,,,
"EasyKale Labs, LLC",2019,Consumer Products,Mississippi,Yes,750000,0,,,
OnRisk Inc.,2019,Insurance,New Jersey,Yes,750000,100000,,,
Wesa LLC,2019,Automobile,New York,Yes,1000000,0,,,
PlaySVG,2019,Sports,New York,Yes,900000,30000,,,
"Pocketful of Quarters, Inc",2019,Sports,Connecticut,Yes,2000000,150000,,,
FLYUPAV,2019,Automobile,New York,Yes,1000000,50000,,,
Solootions LLC,2019,Healthcare Technologies,Connecticut,Yes,200000,0,,,
Co/Lab,2019,Research,New Jersey,Yes,50000,0,,,
ALAFIA SPS,2019,Healthcare Technologies,Maryland,Yes,1000000,0,,,
Blyz Inc.,2019,Consumer Services,Florida,Yes,2000000,0,,,
We Are the New Farmers,2019,Food & Drink,New York,Yes,300000,170000,,,
Hora Education and Services Pvt. Ltd..,2019,FinTech,Gurgaon,Yes,1000000,775000,,,
Meaningful Work Ltd,2019,Artificial Intelligence,United Kingdom,Yes,250000,0,,,
Spoonful Inc.,2019,Healthcare Technologies,California,Yes,750000,250000,,,
L'AMARUE,2019,Health & Beauty,New York,Yes,650000,0,,,
Reebeez,2019,Energy & CleanTech,New York,Yes,1000000,220000,,,
